============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
  mux_cpuregs_wrdata_1310_3612                   mux_602                           32    170.927     0.000      170.927 
  mux_reg_out_1579_3611                          mux_571                           32    170.927     0.000      170.927 
  mux_current_pc_1493_3607                       mux_533                           32    170.927     0.000      170.927 
  mux_reg_op2_1481_9                             mux_1851                          32    170.927     0.000      170.927 
  mux_reg_pc_1452_7                              bmux_969                          32    170.927     0.000      170.927 
  mux_reg_next_pc_1452_7                         bmux_969                          32    170.927     0.000      170.927 
  mux_reg_next_pc_1552_9                         bmux_969                          32    170.927     0.000      170.927 
  mux_reg_next_pc_1562_10                        bmux_969                          32    170.927     0.000      170.927 
  mux_1235_18                                    bmux_969                          32    170.927     0.000      170.927 
  mux_387_19                                     bmux_969                          32    170.927     0.000      170.927 
  mux_384_49                                     bmux_969                          32    170.927     0.000      170.927 
  mux_1208_33                                    bmux_969                          32    170.927     0.000      170.927 
  mux_reg_op1_1830_34                            bmux_969                          32    170.927     0.000      170.927 
  mux_1637_18                                    bmux_969                          32    170.927     0.000      170.927 
  mux_1347_18                                    bmux_969                          32    170.927     0.000      170.927 
  mux_1348_18                                    bmux_969                          32    170.927     0.000      170.927 
  mux_1316_23                                    bmux_969                          32    170.927     0.000      170.927 
  mux_1495_20                                    bmux_969                          32    170.927     0.000      170.927 
  mux_1495_37                                    bmux_969                          32    170.927     0.000      170.927 
  mux_decoded_imm_j_891_23                       bmux_1575                         30    160.244     0.000      160.244 
  mux_382_40                                     bmux_1575                         30    160.244     0.000      160.244 
  eq_1236_21                                     equal_unsigned_1155               44    142.884     0.000      142.884 
  mux_cpu_state_1481_9                           mux_1950                           7    130.866     0.000      130.866 
  mux_mem_rdata_q_436_34                         bmux_1614                         23    122.853     0.000      122.853 
  mux_cpu_state_1579_3610                        mux_566                            6    112.171     0.000      112.171 
  mux_decoded_rd_921_13                          mux_1668                           5    106.829     0.000      106.829 
  mux_decoded_rs1_984_13                         bmux_1678                          5    106.829     0.000      106.829 
  mux_decoded_rs1_921_13                         mux_1668                           5    106.829     0.000      106.829 
  mux_mem_rdata_q_465_36                         bmux_1598                         17     90.805     0.000       90.805 
  eq_1082_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  eq_1081_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  eq_1080_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  eq_1079_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  eq_1078_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  eq_1077_77                                     equal_unsigned_1104               29     90.805     0.000       90.805 
  mux_386_44                                     bmux_1286                         16     85.463     0.000       85.463 
  mux_388_19                                     bmux_1286                         16     85.463     0.000       85.463 
  mux_mem_rdata_word_420_11                      bmux_1287                          8     85.463     0.000       85.463 
  mux_mem_rdata_word_412_11                      bmux_1286                         16     85.463     0.000       85.463 
  g254                                           and_op_293                        32     85.463     0.000       85.463 
  g252                                           or_op_291                         32     85.463     0.000       85.463 
  g250                                           xor_op                            32     85.463     0.000       85.463 
  mux_mem_rdata_q_527_71                         bmux_1601                         15     80.122     0.000       80.122 
  mux_mem_rdata_q_519_39                         bmux_1601                         15     80.122     0.000       80.122 
  mux_mem_rdata_q_482_37                         bmux_1601                         15     80.122     0.000       80.122 
  eq_1085_22                                     equal_unsigned_1116               21     69.439     0.000       69.439 
  mux_decoded_rd_1017_40                         mux_1674                           5     66.768     0.000       66.768 
  mux_decoded_rs1_1017_40                        mux_1674                           5     66.768     0.000       66.768 
  sub_1837_23                                    sub_unsigned_1151                 27     61.427     0.000       61.427 
  add_910_26                                     add_unsigned_1118                 24     57.421     0.000       57.421 
  add_906_25                                     add_unsigned_1118                 24     57.421     0.000       57.421 
  mux_cpu_state_1762_5                           mux_1662                           5     53.415     0.000       53.415 
  mux_decoded_rd_900_11                          bmux_1679                          5     53.415     0.000       53.415 
  mux_decoded_rd_984_13                          mux_1662                           5     53.415     0.000       53.415 
  mux_decoded_rs2_900_11                         bmux_1679                          5     53.415     0.000       53.415 
  mux_decoded_rs2_984_13                         mux_1662                           5     53.415     0.000       53.415 
  mux_decoded_rs1_900_11                         bmux_1679                          5     53.415     0.000       53.415 
  mux_decoded_rs1_902_13                         mux_1662                           5     53.415     0.000       53.415 
  mux_mem_rdata_q_531_39                         bmux_1599                         10     53.415     0.000       53.415 
  mux_mem_rdata_q_523_39                         bmux_1599                         10     53.415     0.000       53.415 
  mux_mem_rdata_q_486_37                         bmux_1599                         10     53.415     0.000       53.415 
  mux_mem_rdata_q_478_37                         bmux_1599                         10     53.415     0.000       53.415 
  mux_mem_rdata_q_474_37                         bmux_1599                         10     53.415     0.000       53.415 
  ctl_mem_rdata_latched_921_13                   case_box_459                      19     46.738     0.000       46.738 
  mux_decoder_pseudo_trigger_1481_9              mux_1771                           2     42.732     0.000       42.732 
  mux_reg_sh_1481_9                              mux_1702                           5     40.061     0.000       40.061 
  mux_reg_sh_1579_5                              mux_1702                           5     40.061     0.000       40.061 
  mux_decoded_rd_902_13                          mux_1702                           5     40.061     0.000       40.061 
